"Ariquemes  ",Candiru phlebovirus,Phlebovirus,Phenuiviridae,ARQV,30/12/1988,ssRNA(-),enveloped,tbc,12774,sandfly-borne-virus,Lutzomyia sp.,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Arkonam,unclassified orbivirus,Orbivirus,Reoviridae,ARKV,30/01/1957,dsRNA,non-enveloped,tbc,unk,mosquito-borne-virus,Anopheles subpictus,tbc,unk,unk,unk,unk,unk,unk,India,tbc,yes,unk,no,unk,tbc,2
Aroa,Aroa virus,Flavivirus,Flaviviridae,AROAV,13/12/1972,ssRNA(+),enveloped,tbc,10248,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Venezuela,tbc,yes,unk,unk,9,tbc,2
"Arrábida  ",Naples phlebovirus,Phlebovirus,Phenuiviridae,ARRV,30/06/1905,ssRNA(-),enveloped,tbc,12429,sandfly-borne-virus,Phlebotomus spp.,tbc,unk,unk,unk,unk,unk,unk,Portugal,tbc,?,?,?,?,tbc,2
"Artashat  ",Artashat orthonairovirus,Orthonairovirus,Nairoviridae,ARTSV,07/06/1905,ssRNA(-),enveloped,tbc,17454,tick-borne-virus,Ornithodoros alactagalis,tbc,unk,unk,unk,unk,unk,unk,Armenia,tbc,?,?,?,?,tbc,unk
Aruac,unclassified rhabdovirus,unk,Rhabdoviridae,ARUV,26/08/1955,ssRNA(-),enveloped,tbc,11906,mosquito-borne-virus,Culex sp.,tbc,unk,unk,unk,unk,unk,unk,Trinidad and Tobago,tbc,yes,yes,unk,no,tbc,2
Aruanã,unclassified orbivirus,Orbivirus,Reoviridae,-,27/08/1984,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
"Arumateua  ",Anopheles A orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ARTV,01/08/1984,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Nyssorhynchus sp,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,2
Arumowot,Arumowot phlebovirus,Phlebovirus,Phenuiviridae,AMTV,?,ssRNA(-),enveloped,tbc,12262,mosquito-borne-virus,Culex antennatus,tbc,unk,unk,unk,unk,unk,unk,"Sudan, Nigeria, Central African Republic, Ethiopia, South Africa, Zimbabwe, Kenya",tbc,yes,unk,unk,unk,tbc,2
Assurinis,unclassified orbivirus,Orbivirus,Reoviridae,-,03/09/1988,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Aura,Aura virus,Alphavirus,Togaviridae,AURAV,15/01/1959,ssRNA(+),enveloped,tbc,11824,mosquito-borne-virus,Aedes serratus,tbc,unk,unk,unk,unk,unk,unk,"Brazil, Argentina",tbc,yes,unk,unk,9,tbc,2
Avalon,unclassified orthonairovirus,Orthonairovirus,Nairoviridae,AVAV,31/07/1972,ssRNA(-),enveloped,tbc,17905,tick-borne-virus,Ixodes uriae,tbc,unk,unk,unk,unk,unk,unk,"Canada, Russia, France",tbc,yes,unk,no,unk,tbc,2
Babahoyo ,Patois orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BABV,28/02/1975,ssRNA(-),enveloped,tbc,12843,mosquito-borne-virus,Culex ocossa,tbc,unk,unk,unk,unk,unk,unk,Ecuador,tbc,yes,unk,5,4,tbc,2
Babanki ,Sindbis virus,Alphavirus,Togaviridae,BBKV,16/06/1969,ssRNA(+),enveloped,tbc,4676,mosquito-borne-virus,Culex telesilla,tbc,febrile illness,unk,unk,unk,3,sporadic,"Cameroon,Central African Republic, Senegal, Madagascar, Ivory Coast",tbc,yes,unk,unk,2,tbc,unk
